"	Category","	Event","	Event Display Name","	Event Description","	Event Volume","	Event Query Volume","	Event Schema Status","	Event First Seen","	Event Last Seen","	Event Number of Properties","	Event Property","	Property Description","	Property Type","	Property Schema Status","	Property Is Required","	Property Is Array","	Property Enum Options","	Property Regex","	Property First Seen","	Property Last Seen"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/equity/zipline-international/ Page","	","	","	0","	0","	added","	2020-03-30","	2020-03-30","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/equity/zipline-international/amt-crossover/ Page","	","	","	0","	0","	added","	2020-03-30","	2020-03-30","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/equity/zipline-international/exercise-report/ Page","	","	","	0","	0","	added","	2020-03-30","	2020-03-30","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/equity/zipline-international/forecast/ Page","	","	","	0","	0","	added","	2020-03-30","	2020-03-30","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/equity/zipline-international/forecast/# Page","	","	","	0","	0","	added","	2020-03-30","	2020-03-30","	5","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/equity/zoox/ Page","	","	","	0","	0","	added","	2019-09-27","	2020-03-25","	7","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/equity/zoox/amt-crossover/ Page","	","	","	0","	0","	added","	2020-03-22","	2020-03-22","	7","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/equity/zoox/exercise-report/ Page","	","	","	0","	0","	added","	2019-09-29","	2020-03-22","	7","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/equity/zoox/manage/ Page","	","	","	0","	0","	added","	2019-09-27","	2020-03-22","	7","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/estate/ Page","	","	","	0","	0","	added","	2019-09-26","	2020-05-13","	7","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financ Page","	","	","	0","	0","	added","	2020-04-01","	2020-04-01","	5","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing Page","	","	","	0","	0","	added","	2019-10-04","	2020-07-20","	8","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	search","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/ Page","	","	","	0","	0","	added","	2019-09-26","	2020-07-14","	8","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	search","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/1 Page","	","	","	0","	0","	added","	2020-03-22","	2020-03-22","	5","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/acutus-medical Page","	","	","	0","	0","	added","	2020-03-20","	2020-03-20","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/algolia Page","	","	","	0","	0","	added","	2020-03-27","	2020-03-27","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/anduril-industries Page","	","	","	0","	0","	added","	2020-03-19","	2020-03-19","	7","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/automattic Page","	","	","	0","	0","	added","	2020-03-31","	2020-03-31","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/automattic/ Page","	","	","	0","	0","	added","	2020-03-31","	2020-03-31","	7","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/automattic/?status=processing Page","	","	","	0","	0","	added","	2020-03-31","	2020-03-31","	8","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	search","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/awareness-technologies-inc Page","	","	","	0","	0","	added","	2020-03-26","	2020-03-26","	7","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/blablacar Page","	","	","	0","	0","	added","	2020-04-01","	2020-04-01","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/blablacar/ Page","	","	","	0","	0","	added","	2020-04-01","	2020-04-01","	7","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/blablacar/#introduction Page","	","	","	0","	0","	added","	2020-04-01","	2020-04-01","	8","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	hash","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-04-01"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/blablacar/?status=processing#introduction Page","	","	","	0","	0","	added","	2020-04-01","	2020-04-01","	9","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	hash","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-04-01"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	search","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/blend-digital-lending-platform Page","	","	","	0","	0","	added","	2020-03-23","	2020-03-30","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/bracket-labs Page","	","	","	0","	0","	added","	2020-03-30","	2020-03-30","	7","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed https://www.secfi.com/dashboard/financing/cadre Page","	","	","	0","	0","	added","	2019-10-01","	2020-03-17","	7","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	key","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-12"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
